temp,hum,percp,wspeed,pm10
4.4,95.0,0.0,5.2,33.0
4.4,95.0,0.2,3.7,31.0
3.9,97.0,0.2,4.7,32.0
4.0,99.0,0.3,2.8,32.0
3.6,99.0,0.4,3.3,33.0
3.6,99.0,0.4,1.9,29.0
3.1,99.0,0.4,2.6,25.0
2.8,100.0,0.3,2.6,23.0
2.8,100.0,0.3,4.3,23.0
2.7,100.0,0.3,3.9,16.0
2.8,98.0,0.3,2.3,20.0
3.0,97.0,0.1,2.9,22.0
3.7,95.0,0.0,3.0,23.0
5.3,88.0,0.0,2.9,28.0
6.7,84.0,0.0,4.0,31.0
8.0,77.0,0.3,6.0,37.0
9.1,68.0,0.5,10.5,40.0
9.5,67.0,0.4,13.3,42.0
9.2,69.0,0.1,15.7,43.0
8.9,70.0,0.0,17.7,48.0
8.1,75.0,0.0,14.9,50.0
7.1,80.0,0.0,12.6,35.0
6.3,85.0,0.0,10.3,23.0
5.8,87.0,0.0,9.4,25.0
5.2,90.0,0.0,10.1,26.0
4.9,92.0,0.1,10.7,29.0
4.9,93.0,0.1,6.1,32.0
4.8,94.0,0.1,7.1,21.0
4.5,95.0,0.1,7.4,35.0
4.9,93.0,0.0,7.9,38.0
5.1,93.0,0.0,7.2,35.0
4.3,95.0,0.0,6.0,19.0
4.4,96.0,0.0,6.3,17.0
4.6,97.0,0.0,4.8,19.0
4.7,97.0,0.0,4.5,21.0
5.3,96.0,0.0,4.3,27.0
7.2,91.0,0.0,4.4,20.0
8.8,79.0,0.0,8.9,13.0
9.6,74.0,0.0,14.8,9.0
10.4,71.0,0.2,19.8,9.0
10.5,74.0,0.4,20.8,9.0
10.4,77.0,0.3,22.9,8.0
10.3,79.0,0.2,24.4,7.0
10.4,77.0,0.1,21.8,7.0
9.8,80.0,0.0,19.0,6.0
8.9,85.0,0.0,17.6,6.0
8.6,89.0,0.0,16.7,6.0
8.8,87.0,0.0,16.6,8.0
8.8,88.0,0.0,16.4,8.0
8.7,89.0,0.0,17.1,8.0
8.6,88.0,0.0,19.3,9.0
8.6,88.0,0.0,20.7,10.0
8.4,89.0,0.0,19.9,9.0
8.0,88.0,0.0,17.8,11.0
8.1,89.0,0.0,18.1,11.0
8.1,89.0,0.0,18.9,7.0
8.3,90.0,0.0,16.1,4.0
8.4,92.0,0.0,13.7,2.0
8.4,93.0,0.0,15.5,2.0
8.4,93.0,0.0,18.4,4.0
8.9,91.0,0.0,17.9,4.0
9.6,87.0,0.0,24.0,6.0
10.2,85.0,0.1,19.1,4.0
10.7,83.0,0.1,21.5,5.0
11.5,77.0,0.1,20.7,8.0
12.0,73.0,0.0,20.9,10.0
12.4,71.0,0.0,18.3,8.0
12.3,70.0,0.0,16.5,9.0
11.5,76.0,0.0,13.7,11.0
10.4,82.0,0.0,9.8,15.0
8.9,91.0,0.0,6.4,21.0
8.2,92.0,0.0,5.0,30.0
7.4,95.0,0.0,5.2,37.0
6.3,97.0,0.0,5.5,44.0
5.7,98.0,0.0,4.4,44.0
5.5,99.0,0.0,5.4,44.0
5.0,99.0,0.0,4.8,42.0
5.2,99.0,0.0,4.1,42.0
5.5,99.0,0.0,4.1,42.0
6.3,98.0,0.0,4.0,41.0
6.4,98.0,0.0,4.4,32.0
6.6,98.0,0.0,4.9,33.0
6.9,98.0,0.0,5.2,28.0
7.8,95.0,0.0,5.2,29.0
9.5,92.0,0.0,5.7,33.0
10.8,86.0,0.1,12.9,33.0
11.4,82.0,0.2,10.6,38.0
11.8,79.0,0.2,14.4,22.0
12.0,80.0,0.1,15.5,17.0
11.6,77.0,1.0,14.5,9.0
